Argument,Debate,Scheme
Schools are critical for the social development of students.,Should schools close during the Covid-19 pandemic?,5
Students can take part in social activities online.,Should schools close during the Covid-19 pandemic?,6
"Kids don't play a significant role in the spread of Covid-19. Therefore, closing schools will not significantly reduce the spread of the virus.",Should schools close during the Covid-19 pandemic?,3
Students can wear masks and practise social distancing to reduce the rate of infection.,Should schools close during the Covid-19 pandemic?,6
Schools can reduce cohort sizes to decrease the chances of widespread Covid-19 transmission.,Should schools close during the Covid-19 pandemic?,6
A study found that Covid-19 cases in schools were 37% less than the ones in the surrounding community.,Should schools close during the Covid-19 pandemic?,4
"Scientists showed that 1 in 3 people that have COVID-19 won't show symptoms, and would thus continue to go outside and spread the virus without even knowing.",Should schools close during the Covid-19 pandemic?,4
Schools can reduce cohort sizes to decrease the chances of widespread Covid-19 transmission.,Should schools close during the Covid-19 pandemic?,6
It is much more difficult to ensure that students are present and engaged in classes when they are conducted remotely.,Should schools close during the Covid-19 pandemic?,5
90% of teachers surveyed in May 2020 in the US said that remote attendance did not approach normal attendance levels.,Should schools close during the Covid-19 pandemic?,0
Data suggested that only 60 percent of low-income students were regularly logging into online instruction early in the Covid-19 pandemic.,Should schools close during the Covid-19 pandemic?,0
Attendance is difficult to monitor when classes are conducted remotely.,Should schools close during the Covid-19 pandemic?,3
Students can ignore classes and leave them running in the background while they do other activities.,Should schools close during the Covid-19 pandemic?,0
This [30] can be avoided by requiring students to turn on their cameras.,Should schools close during the Covid-19 pandemic?,0
Students may not have enough personal space to be able to turn on their cameras comfortably.,Should schools close during the Covid-19 pandemic?,0
Students may not have stable enough (or any) internet connections for them to switch on their cameras.,Should schools close during the Covid-19 pandemic?,0
Students can get the materials for their school work via the computer.,Should schools close during the Covid-19 pandemic?,0
Only 54% of the global population has access to the internet (p. 8).,Should schools close during the Covid-19 pandemic?,4
"In the US, 4.4 million students cannot consistently access computers and thus, online learning.",Should schools close during the Covid-19 pandemic?,4
Many governments are taking measures to improve internet access for students.,Should schools close during the Covid-19 pandemic?,0
"In order to improve access to the internet, the government of Panama made the internet free for four months (p. 4).",Should schools close during the Covid-19 pandemic?,0
School isn't just about materials alone but also about personal contact and interaction.,Should schools close during the Covid-19 pandemic?,1
A decline in the quality of assessment is detrimental may result in a student's abilities to be misrepresented and thus may harm their future educational prospects.,Should schools close during the Covid-19 pandemic?,5
Students won't get help for exams. Students that are in low sets and need help from the teachers for every lesson will have no help with exam preparation and would go into the exam without any help.,Should schools close during the Covid-19 pandemic?,0
There are multiple online assessment methods that can be combined in order to accurately track the progress of students.,Should schools close during the Covid-19 pandemic?,6
School closures are detrimental to students' well-being.,Should schools close during the Covid-19 pandemic?,5
"Schools provide important benefits for students, particularly those from low-income families, that would be disrupted by school closures.",Should schools close during the Covid-19 pandemic?,5
School closures have been linked to an increase in child marriages across the world.,Should schools close during the Covid-19 pandemic?,5
"School closures disrupt students' routines, increase rates of anxiety and depression among them.",Should schools close during the Covid-19 pandemic?,5
Contracting Covid-19 or spreading it to family members would be worse for a student's well-being.,Should schools close during the Covid-19 pandemic?,6
It is unethical to employ people without economic compensation.,Should unpaid internships be banned?,1
Unpaid internships are an unfair way to replace paid workers.,Should unpaid internships be banned?,1
"The UN Declaration of Human Rights, Article 23 (3) states: “Everyone who works has the right to just and favourable remuneration.”",Should unpaid internships be banned?,4
"In the long run, the experience gained from an unpaid internship can lead one to have a career where they earn more money.",Should unpaid internships be banned?,2
"In the UK, people who have done unpaid internships have a higher average salary than those who have not (Sutton Trust, pp. 44-45).",Should unpaid internships be banned?,0
"Those people who have done paid internships gain an ever higher salary than those who have done unpaid internships (Sutton Trust, pp. 44-45). Therefore in 
terms of best promoting individual's longer-term salary, ideally unpaid internships would be banned and everyone would do paid internships.",Should unpaid internships be banned?,0
"There may never be enough paid internships to go around. Therefore if unpaid internships were banned, some people would never be able to gain the long-term benefits of an internship.",Should unpaid internships be banned?,5
Banning unpaid internships would not necessarily mean they would be replaced with paid internships meaning there would be less opportunities existing.,Should unpaid internships be banned?,5
People choose to opt into internships. If they feel it is in their interests they should be free to choose to do so.,Should unpaid internships be banned?,1
Unpaid internships lower the value placed on work done by other paid interns and entry level workers.,Should unpaid internships be banned?,1
When work is done without payment it makes similar work seem worth less.,Should unpaid internships be banned?,1
Where work is seen as less valuable this drives wages for those jobs down.,Should unpaid internships be banned?,3
Unpaid internships have replaced many entry-level jobs.,Should unpaid internships be banned?,3
Changing paid jobs for unpaid internships is harmful for the economy since those positions should have paid taxes.,Should unpaid internships be banned?,5
"Many paid or unpaid internships are never advertised and instead offered through informal networks, which encourages nepotism.",Should unpaid internships be banned?,3
72% of privileged young adults in the UK admit they secured their internships through family connections.,Should unpaid internships be banned?,0
This [24] is not sufficient reason to ban unpaid internships. It is only sufficient reason to regulate them such that they must be allocated on the basis of merit.,Should unpaid internships be banned?,6
There are more effective methods to deal with the problems of unpaid internships than a ban.,Should unpaid internships be banned?,6
"Governments could introduce regulations to ensure that unpaid interns are entitled to the same rights as employees in relation to discrimination, harassment and working conditions.",Should unpaid internships be banned?,2
Governments could cap the length of unpaid internships.,Should unpaid internships be banned?,4
"Effectiveness is not the only measure to consider. Other methods may be more difficult or more expensive to implement, may be easier to bypass, or come with undesirable collateral effects.",Should unpaid internships be banned?,6
Unpaid internships are a barrier to greater social equality in society.,Should unpaid internships be banned?,5
Unpaid internships are a barrier to social mobility.,Should unpaid internships be banned?,3
Unpaid internships serve as a mechanism for wealthier individuals to maintain socio-economic class advantage.,Should unpaid internships be banned?,5
Many interns have bought their place on unpaid internships.,Should unpaid internships be banned?,0
"Unpaid internships are difficult to regulate and monitor, often resulting in illegal practices.",Should unpaid internships be banned?,5
"Unpaid internships, in countries such as Australia, are often under legislated, allowing employers to bypass fair work requirements.",Should unpaid internships be banned?,0
Malpractice is not limited to unpaid internships. Paid interns at top companies can be subject to extreme conditions.,Should unpaid internships be banned?,0
Internships are becoming increasingly regulated to ensure standards.,Should unpaid internships be banned?,4
Unpaid internships can pave the way for a good career.,Should unpaid internships be banned?,2
Unpaid internships are a good way for young professionals to gain work experience.,Should unpaid internships be banned?,2
"If drugs were legalised, the drug trade would be less able to fuel serious crime.",Should all drugs be legalized? ,2
"Around half of the total income of criminal organisations comes from illicit drug trafficking. Without this, they would lose significant power.",Should all drugs be legalized? ,4
The legalisation of alcohol after Prohibition in the US greatly decreased the ability of gangs to make money from alcohol sales.,Should all drugs be legalized? ,7
"Legalization of drugs would have significant economic benefits for the state and its citizens, rather than criminal gangs.",Should all drugs be legalized? ,2
"Legalisation would create jobs, which would likely improve employment rates. This would prevent people from turning to crime in order to generate income.",Should all drugs be legalized? ,3
"Drug legalisation is not necessary for governments to funnel more money into harm reduction and other social programmes, which could equally combat socioeconomic deprivation.",Should all drugs be legalized? ,6
Redistributive policies aim to tax certain wealthier demographics more heavily and use this revenue for positive community investment.,Should all drugs be legalized? ,0
Research shows that there is a positive correlation between a region's unemployment rate and the amount of property crimes reported in the area.,Should all drugs be legalized? ,4
"The legalisation of drugs may create a drugs market that competes with the alcohol industry, jeopardising jobs in the latter.",Should all drugs be legalized? ,3
Studies indicate that cannabis could be a substitute for alcohol if legalised for recreational use.,Should all drugs be legalized? ,4
A 10-year study found that monthly alcohol sales dipped by 15% in US counties when medical marijuana was legalised.,Should all drugs be legalized? ,0
"The sensations felt when consuming marijuana and alcohol are very different. As such, they are not interchangeable, meaning that people may use both.",Should all drugs be legalized? ,3
"Many find marijuana to be more relaxing and calming, and alcohol more energising and stimulating.",Should all drugs be legalized? ,0
"Many people see marijuana as being safer than alcohol, so may make the switch even if the sensations felt are different.",Should all drugs be legalized? ,6
"Drugs are already easily accessible, and the alcohol industry is nonetheless highly successful.",Should all drugs be legalized? ,0
"If the legalisation of drugs makes them cheaper than alcohol, people might be financially motivated to begin consuming only drugs.",Should all drugs be legalized? ,3
"In a behavioural study conducted on misusers of both alcohol and illicit drugs, results indicated that which drugs users choose to use is not a decision solely influenced by economic considerations.",Should all drugs be legalized? ,4
"Studies indicate that alcohol consumption is common among drug misusers, suggesting that consumption of one often accompanies the other.",Should all drugs be legalized? ,4
"The legal cannabis industry in the US currently supports 321,000 full-time jobs and creates jobs at a faster rate than any other US industry.",Should all drugs be legalized? ,0
"Particularly between poorer countries, and in areas like Central America, it is often difficult to monitor and control movements across borders, meaning that drug smuggling will remain rampant.",Should all drugs be legalized? ,3
"The sale of drugs with potentially fatal or otherwise highly dangerous effects is likely to stay banned even if drugs are legalised, so there will remain a black market demand for these substances (p. 1-2).",Should all drugs be legalized? ,3
"There will still be a black market demand for drugs in places where they are legalised. Thus, criminals can continue to generate drug-related income regardless.",Should all drugs be legalized? ,3
"In some US states where marijuana is legal, there are still large marijuana black markets due to regulations that increase the cost of legal marijuana.",Should all drugs be legalized? ,0
"Despite alcohol often being very expensive due to heavy taxation, black markets for it are still much rarer in places where it is legally sold.",Should all drugs be legalized? ,7
"Cheaper black market alcohol is highly popular and accounts for a substantial amount of total alcohol trade in many lower-income countries in Central and Latin America and Africa,
 despite alcohol being a legally purchasable substance in such countries.",Should all drugs be legalized? ,0
The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped.,Should all drugs be legalized? ,5
"Incarceration often creates, or else fails to treat, substance use disorders or other mental illnesses.",Should all drugs be legalized? ,0
Time spent in prison can have a lasting positive impact on an offender's life by deterring them from future crime and rehabilitating them via training and well-being programmes.,Should all drugs be legalized? ,2
Those who have been to prison find it very hard to find employment upon their release (p. 3).,Should all drugs be legalized? ,5
"Many who go to prison suffer from stigma, affecting their employment opportunities and their daily life.",Should all drugs be legalized? ,3
"Due to this, many who leave prison often continue to commit crime to make money.",Should all drugs be legalized? ,3
It is not necessary to end drug prohibition in order to mitigate cruel and dangerous policing practices: adapting the criminal justice system with regards to drug law enforcement would be sufficient.,Should all drugs be legalized? ,6
"If drugs were legalised, prison systems would be less overcrowded, which is a significant social issue in the US.",Should all drugs be legalized? ,2
"Many other countries have significantly more overcrowded prisons than the US does. Legalisation could help resolve this serious issue in those countries, too.",Should all drugs be legalized? ,2
"In the US, the War on Drugs has led to the mass incarceration of African Americans and other minority groups.",Should all drugs be legalized? ,0
"Other countries, like Japan, have strict drug laws which are not used as instruments of social oppression.",Should all drugs be legalized? ,0
Legalisation would increase overall drug use.,Should all drugs be legalized? ,5
"If legal, drugs will likely be easier for individuals to access, which may lead to more people trying them.",Should all drugs be legalized? ,3
"Substance abuse increased during the COVID-19 pandemic despite it being harder to access drugs during periods of lockdown. 
This indicates that psychological stress, rather than ease of access, is a primary determinant of frequent drug (mis)use.",Should all drugs be legalized? ,0
"The current American opioid crisis, in which hundreds of thousands of people have become addicted to and overdosed on opioids, has been caused by easy access to certain opioids due to their legality.",Should all drugs be legalized? ,7
"In many places where drugs have been legalised, their consumption has not increased.",Should all drugs be legalized? ,0
"In some cases, drug legalisation has actually lead to decreases in drug use.",Should all drugs be legalized? ,2
"In the US state of Colorado, there has been a drop in teen drug use following the legalisation of marijuana.",Should all drugs be legalized? ,0
Using drugs can be an important and positive experience for individuals and communities.,Should all drugs be legalized? ,2
Creativity can be stimulated through the use of drugs.,Should all drugs be legalized? ,0
"Drugs are not necessary for creativity, which can be boosted by a multitude of legal alternatives such as walking, meditation, and visually stimulating environments.",Should all drugs be legalized? ,6
"Some drugs can impair one's ability to make moral, rational, and autonomous judgements.",Should all drugs be legalized? ,5
Individuals routinely take many decisions which partially remove their autonomy. It would be arbitrary to only ban drugs for this reason.,Should all drugs be legalized? ,7
"Drugs can alter and intensify thoughts, feelings, and perceptions, allowing users to experience states of consciousness they would not otherwise have access to. This can bring about noticeable health benefits.",Should all drugs be legalized? ,2
Drugs should remain banned because they are detrimental to the health of those who use them.,Should all drugs be legalized? ,5
"While enjoyable, these experiences are not important or necessary for a good life. It is, therefore, not particularly harmful for people to be denied them.",Should all drugs be legalized? ,1
"Health problems associated with illegal drugs are often the result of dangerous, poor-quality drugs. These drugs would become less common with legalisation.",Should all drugs be legalized? ,3
Many illegal drugs have valuable medicinal properties that could be beneficial to the health of those who use them.,Should all drugs be legalized? ,2
"Legalisation could fuel the creation of more hygienic supervised injection sites, reducing the health risks associated with injecting illegal drugs.",Should all drugs be legalized? ,2
Moral anti-realism is correct and there are no such things as moral properties.,Are moral properties natural properties?,4
Moral Error Theory (an anti-realist theory) provides the best explanation for moral phenomena.,Are moral properties natural properties?,4
Almost all of the investigative methods and tools available to us are designed to explore the natural world.,Are moral properties natural properties?,3
"In Wittgensteinian philosophy, the meaning of a term simply means its common use between two or more agents, and all concepts exist within a 'language-game' rather than in nature.",Are moral properties natural properties?,4
"There is no such thing as absolute morality. What we perceive (as living organisms) to be moral on a fundamental level arises from our biology. 
We've evolved to consider as ""good"" the things that serve our instincts of survival and reproduction and as ""bad"" things that go against our basic instincts. This means that the basis of morality in humans is natural, and then specificities that come from that basis are mostly social constructs",Are moral properties natural properties?,3
No attempt by philosophers to bridge the is/ought divide has yet succeeded.,Are moral properties natural properties?,4
"Normative (moral) properties are quite commonly used in the natural sciences. The study of medicine and biology makes natural use of notions about how organs ""ought"" to function.",Are moral properties natural properties?,0
"In medicine, these ought claims are attached to an implied ""in order to be healthy"". Doctors are paid to keep people healthy, and for them to 
question whether, in an objective sense, one ""ought"" to be healthy is counterproductive or irrelevant.",Are moral properties natural properties?,1
"It is possible for people to draw differing conclusions from the same facts because they have unique prior experiences and value judgments
 about the world that they will subconsciously rely on when evaluating the same evidence.",Are moral properties natural properties?,3
"The principle of Occam's razor states that, all things being equal, the simplest explanation is the best.",Are moral properties natural properties?,4
"The Open Question Argument argues that if moral properties were natural properties, then ""yes"" would logically follow from ""is [eg. pleasure] goodness?"" just like ""yes"" follows from ""is H20 water?"". However, intuitively the former question requires a much more open answer to the latter. This indicates that moral properties are not self-evidently natural.",Are moral properties natural properties?,4
"There's no natural property or set of natural properties which are synonymous with ""good"" or ""bad"" - good and bad are judgments we make of natural properties and so can't be identical to these natural properties. Saying pleasure is good is not the same as saying ""pleasure is pleasure"" and so can't be identical.",Are moral properties natural properties?,0
"H2O is water by definition (as otherwise, some substance not made of H2O but with indistinguishable macroscopic properties to H2O could be accurately classified as ""water""). The same would apply to questions like ""Is X goodness?"", the only difference being that X is more difficult to fully define in terms of natural properties.",Are moral properties natural properties?,7
Moral properties are capable of explaining human intuitions in relation to moral dilemmas.,Are moral properties natural properties?,0
"There are no truly objective morals. The example of ""murder"" is a semantic deception where intentional death is labeled after the fact to show condemnation, rather than being an intrinsic quality clearly different than ""defense"", ""accident"", ""euthanasia"", ""sacrifice"" or ""execution"". That we employ a legal debate process to make those distinctions underlines the fact that even the most important morals are subjective in nature.",Are moral properties natural properties?,0
You should pull the lever because five lives are worth more than one.,What's the right solution to the trolley problem?,1
"There is no moral difference between causing death directly and causing death through negligence;
 therefore the only relevant variable here is the number of people who will die.",What's the right solution to the trolley problem?,7
"From a simple utilitaristic point of view, pulling the lever would be not only permissible, but, morally speaking, the better option as it maximizes utility.",What's the right solution to the trolley problem?,4
There is more suffering and pain if more people die.,What's the right solution to the trolley problem?,1
"If morality is merely about the eventual death toll, it should be considered moral for a doctor to kill one patient and use their organs to save more people. Yet, this is clearly immoral.",What's the right solution to the trolley problem?,7
"Possible good consequences (such as saving five people) are irrelevant to whether or not pulling the lever is right, as the action must be right in and of itself
 regardless of consequence to be morally correct (under deontology).",What's the right solution to the trolley problem?,4
"In the trolley problem, you are not initially the cause of any person's death unless you pull the lever. You had no prior obligation to either group, and you did not, by your own action cause the situation to exist.",What's the right solution to the trolley problem?,3
Negligence is as much of a choice as intervening.,What's the right solution to the trolley problem?,7
There is a moral difference between causing death and failing to prevent one.,What's the right solution to the trolley problem?,7
"It's unfair to consider the one who pulls or not the lever to be the resposible of one or five's people's deaths.
 The responsible one is really whoever put the trolley on the tracks in the first place.",What's the right solution to the trolley problem?,1
"When people's lives are at stake, it is selfish to change the focus to whether or not the bystander deserves blame for what happens. The bystander's priority should be saving lives, not avoiding blame.",What's the right solution to the trolley problem?,1
You should pull the lever because a world where people are willing to sacrifice one person to save five is a better world to live in overall.,What's the right solution to the trolley problem?,1
"If all seven participants were asked what action they would prefer, knowing that they would be put into this scenario but unaware of where they would be, they would likely opt to kill only one person.",What's the right solution to the trolley problem?,0
It is highly problematic to apply statistical analysis to moral issues simply because moral values cannot be mathematically equated.,What's the right solution to the trolley problem?,1
There is no better framework than mathematics and statistics to make any kind of judgement in these situations.,What's the right solution to the trolley problem?,1
"For some, if in the thought experiment their parent was on the tracks, but they didn't know which one, they would pull the lever to maximize the chances of saving their parent.",What's the right solution to the trolley problem?,3
"If the five people are murderers, it would be better to let them die than to let them live on to murder others.",What's the right solution to the trolley problem?,0
"Even if the five people on the tracks have done heinous things, many believe it is illegitimate to kill them.",What's the right solution to the trolley problem?,1
"If self-sacrifice for a greater number of people is not an obligation, then sacrificing someone else to save a greater amount of people without their consent cannot be the right thing to do.",What's the right solution to the trolley problem?,7
"Judith Jarvis Thompson set up a trolley problem where the bystander can turn the trolley towards themself. If one is wary of doing this, they are not entitled to turn the track on others.",What's the right solution to the trolley problem?,0
"If individuals have no moral right to make others sacrifice themselves, then killing the one person is an immoral act in a way that allowing the five to die is not.",What's the right solution to the trolley problem?,7
Self-sacrifice for a greater number of people is a moral obligation.,What's the right solution to the trolley problem?,1
"Self-sacrifice may be a highly moral and virtuous act, but it does not follow that such an obligation exists.",What's the right solution to the trolley problem?,1
Pulling the lever can benefit you directly.,What's the right solution to the trolley problem?,2
Five people will be eternally thankful.,What's the right solution to the trolley problem?,2
Pulling the lever might cause severe mental problems for the person who pulls the lever.,What's the right solution to the trolley problem?,5
Making a decision that will result in the death of others out of self-interest is immoral because it prioritizes your self-interest.,What's the right solution to the trolley problem?,1
"By consciously pulling the lever, rather than passively watching, you choose to kill one person instead of merely allowing five people to die. This active choice is immoral.",What's the right solution to the trolley problem?,1
"By pulling the lever, you actively interfere with the plan of fate, nature or a higher being, which is wrong.",What's the right solution to the trolley problem?,1
"According to many philosophers, the fate of the universe tends towards Goodness.",What's the right solution to the trolley problem?,4
All humans should go vegans because a vegan society has envinornmental advantages ,Should all humans be vegans?,2
a vegan society would be the most effective at combating climate change.(link),Should all humans be vegans?,4
"A vegan society has environmental advantages, because a vegan society would be the most effective at combating climate change.",Should all humans be vegans?,2
[a vegan society would not be the most effective] because the environmental advantages of a vegan society can be pursued by significantly decreasing meat consumption and sustainably restructuring the meat industry.,Should all humans be vegans?,6
A vegan society would cause the least harm to wildlife.,Should all humans be vegans?,2
"In a vegan world, species would not be as endangered any more.",Should all humans be vegans?,2
The fishing industry is especially deleterious to the ocean's biota.,Should all humans be vegans?,4
"Humans have a moral responsibility towards domestic species, which we have bred selectively throughout history, since they are not capable of surviving in the wild.",Should all humans be vegans?,1
"Industrial farming uses massive amounts of resources and contributes to climate change, which could lead to a mass extinction event.",Should all humans be vegans?,4
The issue of animal extinction could be largely fixed with lab-grown meat. US consultancy firm Kearney suggests that 35% of all meat consumed globally will be cell-based by 2040.,Should all humans be vegans?,2
"Over 100,000 species per year go extinct in large part due to the environmental effects of animal agriculture.",Should all humans be vegans?,2
Sustainable farming practices do not have these problems. This fails as a criticism of farming as a whole.,Should all humans be vegans?,6
Creating more animals for the meat and dairy industry adds more animals into a world already struggling to provide for its existing population.,Should all humans be vegans?,3
"Computer modelling indicates that the United States could support the largest human population on domestic production if everybody followed a lacto-ovo vegetarian diet, surpassing the carrying capacity of veganism.",Should all humans be vegans?,4
"Many areas that can only be used as grazing land are barren because they have been exploited and overworked by human agriculture. Allowing these areas to be taken over by natural plants and forests again would benefit soil quality and biodiversity, there is no need to put animals on them for grazing.",Should all humans be vegans?,2
"While the vegetarian diet can maximize the use of all available land in the US, it is not necessary to use up every inch of land if you don't need it in order to sustain the population. This is like saying a school bus is better suited for transporting a family of six than a minivan.",Should all humans be vegans?,7
Veganism is not feasible for many.,Should all humans be vegans?,5
A person's inability to adhere to a moral principle does not affect the validity of the principle.,Should all humans be vegans?,1
"When it comes to dietary change as radical as switching to veganism, inability to adhere may be due to more than a weakness of morality or willpower, but rather an innate and instinctual drive against the principle.",Should all humans be vegans?,1
It is likely easier to overcome issues of morality or willpower than it is to go against one's biological instincts.,Should all humans be vegans?,1
"Just because it is in our nature, does not make it healthy. We developed a craving for sugars, because it was scarce in the past. We should not cater to our nature just because it is innate.",Should all humans be vegans?,0
Veganism is necessarily flexible and thus feasible for most people and circumstances.,Should all humans be vegans?,4
"Due to the mass availability of vegan products and the development of meat substitutes, becoming vegan is easier than ever.",Should all humans be vegans?,3
Vegan cosmetics exist.,Should all humans be vegans?,0
A study found that the performance of participants on a test was significantly better when participants were told that the test was easy compared to participants who were told it would be difficult.,Should all humans be vegans?,4
"Vegans miss out on enjoyable and culturally important foods and experiences, making veganism a difficult lifestyle to maintain.",Should all humans be vegans?,5
"Veganism is incompatible with some religions, cultures and traditions.",Should all humans be vegans?,1
"It is often necessary for a vegan diet to include supplements, as it lacks specific essential nutrients. These may not be affordable to the less privileged.",Should all humans be vegans?,5
Worldwide veganism would improve public health.,Should all humans be vegans?,4
Global veganism could help eradicate world hunger.,Should all humans be vegans?,2
Universal veganism would worsen existing food distribution and access problems.,Should all humans be vegans?,5
Fresh food and vegetables can be very difficult to source in food deserts. It is unclear how this problem would be solved in a vegan society.,Should all humans be vegans?,4
Livestock farming can benefit the environment,Should all humans be vegans?,6
Pasture animals can damage biodiversity.,Should all humans be vegans?,5
It is an individual's choice to decide if they wish to live or die.,Should individuals sentenced to life in prison be allowed to choose death instead?,1
It is cruel and inhumane to force someone to stay alive against their will.,Should individuals sentenced to life in prison be allowed to choose death instead?,4
Life imprisonment is similar to the death penalty in terms of the emotional and physical toll it has on the inmate.,Should individuals sentenced to life in prison be allowed to choose death instead?,7
"Individuals that wish to commit suicide can be assisted through prison rehabilitation as opposed to entertaining their desire to die, which could be impulsive.",Should individuals sentenced to life in prison be allowed to choose death instead?,6
Allowing the option of death makes it seem as though rehabilitation is not a worthwhile option for future life prisoners.,Should individuals sentenced to life in prison be allowed to choose death instead?,5
"This is just suicide by a different name, which is an irrational action.",Should individuals sentenced to life in prison be allowed to choose death instead?,7
"The state has a responsibility to protect its citizens from threats, including those posed by themselves (p. 515).",Should individuals sentenced to life in prison be allowed to choose death instead?,4
"Suicide cannot reasonably be punished or restricted, so people should be allowed the right to die.",Should individuals sentenced to life in prison be allowed to choose death instead?,7
"Since many prisoners suffer from mental health conditions (p. 1), a prisoner who desires euthanasia as a product of poor mental health cannot be considered to be making a voluntary decision.",Should individuals sentenced to life in prison be allowed to choose death instead?,3
"Criminals spending long terms in prison develop a wide range of mental health conditions, which can cause violence within prisons themselves.",Should individuals sentenced to life in prison be allowed to choose death instead?,5
PTSD and anxiety are common mental health disorders observed to develop within long-term inmates.,Should individuals sentenced to life in prison be allowed to choose death instead?,0
Chronic psychological suffering means individuals with mental health disorders have a stronger desire to die than neurotypical people. It would be an injustice to deny them that choice.,Should individuals sentenced to life in prison be allowed to choose death instead?,1
"A 2006 survey showed 49% of state prisoners, 40% of federal prisoners and 60% of all inmates in the USA have a symptom of a mental disorder (p. 8).",Should individuals sentenced to life in prison be allowed to choose death instead?,4
"This argument suggests that individuals with mental health conditions cannot choose for themselves, which is an ableist assumption and is incorrect.",Should individuals sentenced to life in prison be allowed to choose death instead?,1
"As with assisted dying in medical circumstances, the use of safeguards can ensure that the prisoner makes an informed decision.",Should individuals sentenced to life in prison be allowed to choose death instead?,6
Medical practitioners follow scientific standards to determine whether patients possess autonomy and the capacity to make an informed choice. Such requirements could also be applied to prisoners in these circumstances.,Should individuals sentenced to life in prison be allowed to choose death instead?,0
A rigorous process to determine whether someone is approved for euthanasia already exists.,Should individuals sentenced to life in prison be allowed to choose death instead?,4
There is no inherent right to die.,Should individuals sentenced to life in prison be allowed to choose death instead?,1
The 'right to die' has not been recognised as a human right by the Universal Declaration of Human Rights.,Should individuals sentenced to life in prison be allowed to choose death instead?,4
"In 2014, Belgium set a precedent and widened the scope of the country's euthanasia law by allowing a Belgian serving a life sentence for murder and rape the right to an assisted suicide.",Should individuals sentenced to life in prison be allowed to choose death instead?,0
"As of March 2018, active human euthanasia is legal in the Netherlands, Belgium, Colombia, Luxembourg, and Canada.",Should individuals sentenced to life in prison be allowed to choose death instead?,0
The prison system would benefit from allowing inmates to choose death.,Should individuals sentenced to life in prison be allowed to choose death instead?,2
Allowing prisoners to make this choice would allow more money to be spent on improving conditions for other prisoners.,Should individuals sentenced to life in prison be allowed to choose death instead?,2
Prisons often do not meet even the basic standards for treatment and living conditions.,Should individuals sentenced to life in prison be allowed to choose death instead?,2
The cost of carrying out an inmate execution often exceeds the cost of life imprisonment.,Should individuals sentenced to life in prison be allowed to choose death instead?,3
Allowing prisoners to choose death reduces public pressure to improve the prison system.,Should individuals sentenced to life in prison be allowed to choose death instead?,2
"Rehabilitation and, where appropriate, reintegration should be a central goal of prisons, and allowing people to choose death is contrary to that.",Should individuals sentenced to life in prison be allowed to choose death instead?,6
There may be possible ways for inmates serving life sentences to be released.,Should individuals sentenced to life in prison be allowed to choose death instead?,6
Release in this situation is rare since almost all life sentences are life without parole.,Should individuals sentenced to life in prison be allowed to choose death instead?,4
Inmates may still have ways of making the most of life imprisonment.,Should individuals sentenced to life in prison be allowed to choose death instead?,6
Criminals should be forced to live with the consequences of their crimes.,Should individuals sentenced to life in prison be allowed to choose death instead?,1
There is little benefit to making criminals live with the consequences of their crimes.,Should individuals sentenced to life in prison be allowed to choose death instead?,5
"Since denying prisoners the right to choose death does not stop them from opting for suicide, they may not necessarily live with the consequences of their crimes.",Should individuals sentenced to life in prison be allowed to choose death instead?,3
Access to legal abortion improves the health and safety of women.,Pro-Life vs Pro-Choice: Should abortion be legal?,2
"When abortion is banned, many women who do not want a child seek out illegal abortions.",Pro-Life vs Pro-Choice: Should abortion be legal?,5
"If abortions will happen anyway, it is preferable to make them as safe as possible so at least the women survive the procedure.",Pro-Life vs Pro-Choice: Should abortion be legal?,2
"When abortion is banned, in practice this means that only women who can afford it can access safe abortion, since it is more expensive when illegal.",Pro-Life vs Pro-Choice: Should abortion be legal?,5
Any act will still happen regardless of whether it is legal or illegal. This is not a sufficient reason to legalize an activity which is wrong.,Pro-Life vs Pro-Choice: Should abortion be legal?,1
It wouldn't be reasonable to argue that we shouldn't regulate guns because people would buy guns illegally and from dangerous people anyway.,Pro-Life vs Pro-Choice: Should abortion be legal?,7
"The argument isn't just that illegal abortions will still happen, but that illegal abortions are dangerous for women, as opposed to guns which are still dangerous when legal.",Pro-Life vs Pro-Choice: Should abortion be legal?,5
"The government knows people will seek out illegal and potentially harmful drugs, but that is not a reason to lift the ban on them, making them easier to access.",Pro-Life vs Pro-Choice: Should abortion be legal?,7
"The war on drugs is an good example of why prohibition does not work. Criminalizing behavior may not deter that behavior as long as incentives exist
 and may only compound the problem without addressing the underlying cause.",Pro-Life vs Pro-Choice: Should abortion be legal?,0
Putting the child up for adoption is an alternative to abortion.,Pro-Life vs Pro-Choice: Should abortion be legal?,6
The question here is whether women should or should not have the right to choose abortion. The fact that adoption is a viable option does not automatically negate a right to abortion.,Pro-Life vs Pro-Choice: Should abortion be legal?,1
"If it is true that adoption is a viable option, then abortion is not the only option. If there is another ethical option besides abortion, with the benefit of saving lives, it should be valued over abortion.",Pro-Life vs Pro-Choice: Should abortion be legal?,6
"Believing one option to be ""better"" is not an argument against people having multiple options.",Pro-Life vs Pro-Choice: Should abortion be legal?,1
"Adoption is not a reasonable alternative given it requires women to go through pregnancy and childbirth, and bring a genetically related child into the world.",Pro-Life vs Pro-Choice: Should abortion be legal?,1
